epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1966.48,0.79479,0.5155,0.85868,0.95681,0.97576,0.98663,0.81189,0.666,0.45307,0.87405,0.0012476,0.0012476,0.0012476
59,1999.49,0.7555,0.49977,0.84496,0.95847,0.97576,0.98968,0.82155,0.65538,0.44394,0.85088,0.0012344,0.0012344,0.0012344
60,2032.66,0.73989,0.49592,0.84767,0.95847,0.97901,0.98718,0.80329,0.66564,0.45157,0.86637,0.0012212,0.0012212,0.0012212
61,2065.78,0.78303,0.5099,0.84859,0.96976,0.97191,0.98996,0.78733,0.77075,0.47829,0.86491,0.001208,0.001208,0.001208
62,2099.22,0.75245,0.48399,0.84605,0.94744,0.98322,0.97944,0.80577,0.67002,0.46304,0.85278,0.0011948,0.0011948,0.0011948
63,2132.38,0.77385,0.49789,0.85062,0.96116,0.97474,0.99007,0.81284,0.68439,0.44509,0.86745,0.0011816,0.0011816,0.0011816
64,2165.61,0.7482,0.49487,0.84873,0.97103,0.96364,0.98703,0.81217,0.67224,0.47325,0.86051,0.0011684,0.0011684,0.0011684
65,2198.7,0.77882,0.51298,0.85183,0.9635,0.95455,0.98463,0.78468,0.7437,0.47585,0.88529,0.0011552,0.0011552,0.0011552
66,2231.85,0.75445,0.48563,0.84631,0.96381,0.96833,0.98809,0.81288,0.6537,0.44608,0.85642,0.001142,0.001142,0.001142
67,2265.16,0.76374,0.49493,0.85412,0.94709,0.97642,0.98892,0.81704,0.66969,0.46373,0.86082,0.0011288,0.0011288,0.0011288
68,2298.22,0.76521,0.49725,0.85368,0.97469,0.96667,0.99022,0.82652,0.63289,0.43868,0.86078,0.0011156,0.0011156,0.0011156
69,2331.82,0.76022,0.48458,0.85232,0.95179,0.99091,0.98753,0.81247,0.68072,0.44237,0.87507,0.0011024,0.0011024,0.0011024
70,2364.89,0.72891,0.4635,0.84661,0.95981,0.94848,0.9779,0.80593,0.68031,0.46709,0.88318,0.0010892,0.0010892,0.0010892
71,2397.78,0.7443,0.47962,0.8499,0.97587,0.96667,0.99086,0.82041,0.67127,0.43413,0.86197,0.001076,0.001076,0.001076
72,2430.86,0.71882,0.46733,0.84646,0.94896,0.98182,0.98266,0.80345,0.68374,0.45543,0.86014,0.0010628,0.0010628,0.0010628
73,2463.99,0.76031,0.48141,0.84197,0.95634,0.99091,0.98744,0.82031,0.64058,0.45028,0.84409,0.0010496,0.0010496,0.0010496
74,2496.83,0.72432,0.46335,0.83467,0.96707,0.96667,0.98846,0.81033,0.68849,0.45119,0.86306,0.0010364,0.0010364,0.0010364
75,2530.01,0.74752,0.4687,0.84171,0.96384,0.9693,0.99073,0.82737,0.63254,0.43493,0.84581,0.0010232,0.0010232,0.0010232
76,2563.24,0.74523,0.47328,0.84242,0.97776,0.93939,0.98748,0.8067,0.68403,0.47214,0.86516,0.00101,0.00101,0.00101
77,2596.37,0.72988,0.47026,0.84342,0.95581,0.98321,0.98706,0.82005,0.66239,0.43311,0.85395,0.0009968,0.0009968,0.0009968
78,2629.77,0.72945,0.46695,0.85243,0.97056,0.97879,0.98769,0.82449,0.66278,0.42657,0.85064,0.0009836,0.0009836,0.0009836
79,2662.85,0.76177,0.48238,0.85065,0.97002,0.98051,0.99121,0.8348,0.64171,0.42528,0.85537,0.0009704,0.0009704,0.0009704
80,2696.08,0.73947,0.45955,0.84357,0.96953,0.98788,0.99021,0.80591,0.67722,0.42926,0.85923,0.0009572,0.0009572,0.0009572
81,2729.4,0.71679,0.45159,0.84021,0.96743,0.96667,0.99046,0.82247,0.64092,0.42283,0.85116,0.000944,0.000944,0.000944
82,2762.17,0.70475,0.44202,0.83713,0.97021,0.98703,0.98994,0.81814,0.6686,0.42232,0.84784,0.0009308,0.0009308,0.0009308
83,2795.14,0.72668,0.45688,0.83609,0.98249,0.97576,0.99042,0.8317,0.64001,0.41775,0.84378,0.0009176,0.0009176,0.0009176
84,2828.25,0.72688,0.45771,0.84189,0.97269,0.97124,0.98545,0.81496,0.64994,0.42923,0.84395,0.0009044,0.0009044,0.0009044
85,2861.49,0.70837,0.45261,0.83734,0.96473,0.98485,0.9901,0.83191,0.62313,0.42044,0.84256,0.0008912,0.0008912,0.0008912
86,2894.56,0.71267,0.45177,0.83504,0.95847,0.98485,0.98947,0.82816,0.62853,0.42235,0.84723,0.000878,0.000878,0.000878
87,2927.91,0.70835,0.45053,0.83918,0.95033,0.98555,0.98988,0.81763,0.6382,0.41667,0.84817,0.0008648,0.0008648,0.0008648
88,2961.08,0.71843,0.45381,0.83733,0.96609,0.98788,0.99132,0.82288,0.64012,0.4217,0.84307,0.0008516,0.0008516,0.0008516
89,2994.18,0.70266,0.44516,0.83213,0.97345,0.9697,0.98578,0.82807,0.62221,0.41453,0.84647,0.0008384,0.0008384,0.0008384
90,3027.11,0.68308,0.42836,0.82879,0.97278,0.97464,0.98847,0.83685,0.60408,0.39993,0.83982,0.0008252,0.0008252,0.0008252
91,3060.65,0.7012,0.44117,0.83196,0.96458,0.99034,0.9897,0.82414,0.61567,0.40527,0.84518,0.000812,0.000812,0.000812
92,3093.61,0.68941,0.43089,0.82995,0.98134,0.97576,0.99148,0.82952,0.63449,0.41392,0.84065,0.0007988,0.0007988,0.0007988
93,3126.99,0.69945,0.44468,0.82946,0.95868,0.98433,0.99192,0.81378,0.66001,0.43176,0.84643,0.0007856,0.0007856,0.0007856
94,3160.12,0.68221,0.42883,0.83348,0.97016,0.97273,0.99295,0.83983,0.61724,0.39923,0.8419,0.0007724,0.0007724,0.0007724
95,3193.58,0.68314,0.43224,0.83346,0.97173,0.98788,0.98861,0.82238,0.63204,0.40174,0.85087,0.0007592,0.0007592,0.0007592
96,3226.95,0.68158,0.43077,0.83447,0.94029,0.98485,0.98537,0.8344,0.60376,0.41963,0.8436,0.000746,0.000746,0.000746
97,3260.17,0.70603,0.44121,0.8307,0.96351,0.98182,0.98409,0.8091,0.65916,0.41169,0.85514,0.0007328,0.0007328,0.0007328
98,3293.17,0.67438,0.41752,0.82954,0.97288,0.9784,0.99059,0.83666,0.62876,0.403,0.84944,0.0007196,0.0007196,0.0007196
99,3326.27,0.67525,0.41667,0.82313,0.96948,0.97576,0.98822,0.83293,0.60446,0.38991,0.84041,0.0007064,0.0007064,0.0007064
100,3359.33,0.66529,0.41789,0.82544,0.97286,0.9697,0.98936,0.83067,0.61207,0.38687,0.84054,0.0006932,0.0006932,0.0006932
101,3392.31,0.64964,0.40513,0.8236,0.94641,0.98485,0.98285,0.83595,0.59787,0.41055,0.83974,0.00068,0.00068,0.00068
